time,x_bias=-4.471635,y_bias=-9.585345000000002,z_bias=-0.47704125000000003
1615999887.0926487,-0.29658911305879543,-0.9272879262044217,-0.04080408343093254
1615999887.674213,-0.6615161817484886,-1.6643160908056334,-0.08033364049894648
1615999888.0431988,-0.9908429924737368,-2.343065122257669,-0.11731334897487711
1615999888.2074037,-1.1312638117317315,-2.6254051600483796,-0.13164771092000455
1615999888.4751966,-1.2308322240094873,-2.8311849538897826,-0.1415928647579695
1615999889.049759,-1.4578286605666937,-3.2949682339987887,-0.16734429893862868
1615999890.2688897,-1.8373009171633432,-4.057261634855557,-0.20439179858458956
1615999890.58702,-1.8916292539117927,-4.1651493783219316,-0.20972890179275624
1615999890.7484465,-1.9424544567589481,-4.273708530693325,-0.2149554216470804
1615999890.9093328,-2.0186736119387505,-4.428110293623202,-0.22234668066874044
1615999891.2273815,-2.231523991572902,-4.862799790527357,-0.24090311954519375
1615999891.336854,-2.3221704315492038,-5.0460363432594155,-0.24958887044416614
1615999891.3945203,-2.387716232561761,-5.175308757828268,-0.25501507390310396
1615999891.5585778,-2.4508190627384443,-5.303482484912012,-0.2618480436931079
1615999891.6688733,-2.5126801695060497,-5.42681682412764,-0.2683689024473789
1615999892.0972102,-2.6327246705871765,-5.66306897326411,-0.2809831343557944
1615999892.2107446,-2.6719118246424918,-5.737026275696154,-0.2847094449821141
1615999892.2741702,-2.690517706396067,-5.7767810129391925,-0.28728735053229293
1615999892.3324175,-2.7441080937483977,-5.881553097573886,-0.29225994768413327
1615999892.7588408,-2.844450880634435,-6.085958182753251,-0.3052052381592762
1615999892.817288,-2.8611563718280904,-6.119336100925719,-0.30556568577768345
1615999893.2442248,-2.9416021922011235,-6.278708794207471,-0.31352537885744686
1615999893.5131743,-3.020314674228796,-6.433055881673932,-0.3233923834434348
1615999894.267839,-3.189005528136948,-6.812741793758387,-0.34038001980624427
1615999894.3238451,-3.201390472855578,-6.8369268758208035,-0.34248871960818184
1615999894.381889,-3.229360052445752,-6.8896060309919696,-0.34603406908797907
1615999894.798829,-3.294020041252452,-7.011883737576394,-0.35067808805045225
1615999895.1169121,-3.366623625405109,-7.1521740528815405,-0.35484401599909554
1615999895.3297575,-3.399406968356952,-7.224902087586907,-0.3564292138799064
1615999895.38738,-3.4235121446866486,-7.269689911043927,-0.3580398975236963
1615999895.9138017,-3.534423420352907,-7.488452452447561,-0.3695766993784951
1615999896.4988906,-3.627231480211726,-7.6835416142888455,-0.3758420952254854
1615999896.6640296,-3.6575628632252783,-7.749295454492324,-0.38119452940114135
1615999896.7231295,-3.6743537372470954,-7.782630224947926,-0.3844088832660586
1615999897.1968915,-3.7336846236562216,-7.897413286574314,-0.39421732431907447
1615999897.3587327,-3.7700893270783182,-7.973002491378356,-0.39998012012526607
1615999897.9350507,-3.810787475277125,-8.068425836108462,-0.41067746675505046
1615999898.0978293,-3.8297456889739196,-8.112784909100204,-0.4126877565649587
1615999898.5778599,-3.872524719147533,-8.211378759222894,-0.4180176248525588
1615999898.737879,-3.8864378522364973,-8.23724882191436,-0.4188410741179929
1615999898.8461158,-3.9073686865872213,-8.273434084654681,-0.4202537078756144
1615999899.0609598,-3.929669096447125,-8.326307459142289,-0.4227680598730208
1615999899.1683755,-3.9413259314278273,-8.353715065705357,-0.42411035048154766
1615999899.3277416,-3.9531637953924137,-8.374306135897822,-0.4262860545069649
1615999899.538964,-3.9657645200054636,-8.408144593105519,-0.42644593115205354
1615999899.6471908,-3.9749670560573547,-8.428377015702718,-0.4285016571221277
1615999900.7157886,-4.033727243151394,-8.542830675019864,-0.4379757942222481
1615999901.1467602,-4.064016262051218,-8.596053563574262,-0.44167222404376
1615999901.3654435,-4.082357418802034,-8.628372001682543,-0.44380496481743625
1615999902.0094147,-4.1156362492415095,-8.700717531449817,-0.44166550297897156
1615999902.1742826,-4.135572786765807,-8.73562463351664,-0.44293771139020577
1615999902.3962555,-4.1468456281760755,-8.76073448877656,-0.4448439446742053
